Profile Type,Bank/Issuer Name,Payment Method Brand,Payment Method Type,Used For Collections,Used For Disbursements,Is the Latest Version,Not Payable,Billing Country,Country,Region,Deleted At
STORED_VALUE,,,,true,false,false,false,,,,
STORED_VALUE,,,,true,false,false,false,,,,
STORED_VALUE,,,,true,false,false,false,,,,
STORED_VALUE,,,,true,false,true,false,,,,
STORED_VALUE,,,,true,false,false,false,,,,
STORED_VALUE,,,,true,false,false,false,,,,
STORED_VALUE,,,,true,false,false,false,,,,
STORED_VALUE,,,,true,false,false,false,,,,
PAYPAL,,,,true,false,true,false,,,,
PAYPAL,,,,true,false,false,false,,,,
PAYPAL,,,,true,false,false,false,,,,
PAYPAL,,,,true,false,false,false,,,,
PAYPAL,,,,true,false,false,false,,,,
GOOGLE_PAY,,,,true,false,true,false,,,,
GIFT_CARD,,,,true,false,true,false,,,,
BANK_CARD,Royal Bank of Canada,VISA,DEBIT,true,false,false,false,CA,Canada,US & Canada,
BANK_CARD,The Bank of Nova Scotia,VISA,CREDIT,true,false,true,false,CA,Canada,US & Canada,
BANK_CARD,Royal Bank of Canada,VISA,DEBIT,true,false,false,false,CA,Canada,US & Canada,
BANK_CARD,Royal Bank of Canada,VISA,DEBIT,true,false,false,false,CA,Canada,US & Canada,
BANK_CARD,Royal Bank of Canada,VISA,DEBIT,true,false,false,false,CA,Canada,US & Canada,
BANK_CARD,Royal Bank of Canada,VISA,DEBIT,true,false,true,false,CA,Canada,US & Canada,
BANK_CARD,Royal Bank of Canada,VISA,DEBIT,true,false,false,false,CA,Canada,US & Canada,
APPLE_PAY_DISPLAY,,,,true,false,true,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,false,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,false,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,false,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,true,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,false,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,true,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,false,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,false,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,false,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,true,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,false,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,false,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,false,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,false,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,true,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,false,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,false,false,,,,
APPLE_PAY,,APPLE PAY VISA,,true,false,false,false,,,,
