City_Name,Restaurant_Name,Request_Time_Local,Final_Delivery_Time_Local,Order_Status,Item_Name,Item_quantity,Customizations,Customization_Cost_Local,Special_Instructions,Item_Price,Order_Price,Currency
Toronto,Papa John's Pizza (2021 Green Rd),2025-08-16T22:42:32.000Z,2025-08-16T23:05:47.000Z,completed,Create Your Own Pizza,2,"Small (10"") Original Create Your Own, Original Pizza Sauce, Regular Sauce, Normal Cheese, Pepperoni, Normal Cut, Normal Bake",0.0,"",28.88,21.37,CAD
Toronto,Papa John's Pizza (2021 Green Rd),2025-08-16T22:42:32.000Z,2025-08-16T23:05:47.000Z,completed,Special Garlic Sauce,1,Garlic Dipping Sauce,0.0,"",1.69,21.37,CAD
Toronto,McDonald's (2320 Highway 2),2025-08-09T17:27:12.000Z,2025-08-09T17:55:34.000Z,completed,Med Diet Coke [1.0 Cals],1,"Ice [0.0 Cals], Med Diet Coke [1.0 Cals]",0.0,"",3.39,45.78,CAD
Toronto,McDonald's (2320 Highway 2),2025-08-09T17:27:12.000Z,2025-08-09T17:55:34.000Z,completed,Med Fries [350.0 Cals],1,Salt [0.0 Cals],0.0,"",5.29,45.78,CAD
Toronto,McDonald's (2320 Highway 2),2025-08-09T17:27:12.000Z,2025-08-09T17:55:34.000Z,completed,Double Quarter Pounder with Cheese Extra Value Meal [890-1320 Cals],1,Lrg Coca-Cola [280.0 Cals],0.4,"",17.89,45.78,CAD
Toronto,McDonald's (2320 Highway 2),2025-08-09T17:27:12.000Z,2025-08-09T17:55:34.000Z,completed,Double Quarter Pounder with Cheese Extra Value Meal [890-1320 Cals],1,Lrg Fries [560.0 Cals],0.8,"",17.89,45.78,CAD
Toronto,McDonald's (2320 Highway 2),2025-08-09T17:27:12.000Z,2025-08-09T17:55:34.000Z,completed,Med Fries [350.0 Cals],1,Lrg Fries [560.0 Cals],0.8,"",5.29,45.78,CAD
Toronto,McDonald's (2320 Highway 2),2025-08-09T17:27:12.000Z,2025-08-09T17:55:34.000Z,completed,20 Chicken McNuggets (Serves 2) [950-1160 Cals],1,Sweet 'N Sour Sauce [50.0 Cals],0.0,"",17.99,45.78,CAD
Toronto,McDonald's (2320 Highway 2),2025-08-09T17:27:12.000Z,2025-08-09T17:55:34.000Z,completed,Double Quarter Pounder with Cheese Extra Value Meal [890-1320 Cals],1,"Meat Patty [230.0 Cals], Cheese [45.0 Cals], Mustard [0.0 Cals], Onions [10.0 Cals], Salt [0.0 Cals], Ketchup [15.0 Cals], Soft Drinks, Pickles [1.0 Cals], Bun [180.0 Cals], Ice [0.0 Cals]",0.0,"",17.89,45.78,CAD
Toronto,Burrito Guyz (Newcastle),2025-08-09T16:29:07.000Z,2025-08-09T17:13:34.000Z,completed,Burritos,2,"Brown Rice, Creamy Garlic, Pinto Beans, Cilantro Lime Sour Cream, Pickled Onion, Diced Tomato, Red Onion, Mango Salsa, White Tortilla, Cholula® Green Pepper Hot Sauce, Cheese, Green Onion, Lettuce, Small Size (10''), Mexican Rice, Diced JalapeñO",0.0,"",22.98,32.42,CAD
Toronto,Burrito Guyz (Newcastle),2025-08-09T16:29:07.000Z,2025-08-09T17:13:34.000Z,completed,Jarritos,1,Mexican Cola,0.0,"",4.49,32.42,CAD
Toronto,Burrito Guyz (Newcastle),2025-08-09T16:29:07.000Z,2025-08-09T17:13:34.000Z,completed,Burritos,2,Spicy Chipotle Chicken,3.99,"",22.98,32.42,CAD
Toronto,Burrito Guyz (Newcastle),2025-07-27T17:47:06.000Z,2025-07-27T18:27:33.000Z,completed,Burritos,2,Chipotle Steak,5.49,"",22.98,36.79,CAD
Toronto,Burrito Guyz (Newcastle),2025-07-27T17:47:06.000Z,2025-07-27T18:27:33.000Z,completed,Jarritos,1,Mexican Cola,0.0,"",4.49,36.79,CAD
Toronto,Burrito Guyz (Newcastle),2025-07-27T17:47:06.000Z,2025-07-27T18:27:33.000Z,completed,Burritos,2,"Pinto Beans, Cilantro Lime Sour Cream, Medium Salsa, Diced Jalapeño, Burrito Sauce, Pickled Onion, Diced Tomato, Red Onion, White Tortilla, Cheese, Cholula® Green Pepper Hot Sauce, Green Onion, Lettuce, Small Size (10''), Mexican Rice",0.0,"",22.98,36.79,CAD
Toronto,Firehouse Subs (Bowmanville),2025-07-26T18:17:50.000Z,2025-07-26T18:45:13.000Z,completed,Hook & Ladder®,2,"Ham, Onion, Side Pickle, Tomato, Turkey, Medium (7-8 inch), Monterey Jack, White Bread, Lettuce, Deli Mustard, Mayo",0.0,"",32.58,21.81,CAD
Toronto,Burrito Guyz (Newcastle),2025-07-19T16:36:07.000Z,2025-07-19T17:09:32.000Z,completed,Jarritos,1,Mexican Cola,0.0,"",4.49,36.79,CAD
Toronto,Burrito Guyz (Newcastle),2025-07-19T16:36:07.000Z,2025-07-19T17:09:32.000Z,completed,Burritos,2,Chipotle Steak,5.49,"",22.98,36.79,CAD
Toronto,Burrito Guyz (Newcastle),2025-07-19T16:36:07.000Z,2025-07-19T17:09:32.000Z,completed,Burritos,2,"Pinto Beans, Cilantro Lime Sour Cream, Diced Jalapeño, Burrito Sauce, Pickled Onion, Diced Tomato, Red Onion, Mango Salsa, White Tortilla, Cheese, Cholula® Green Pepper Hot Sauce, Green Onion, Lettuce, Small Size (10''), Mexican Rice",0.0,"",22.98,36.79,CAD
Toronto,Goodfella's Pizzeria,2025-07-16T11:14:10.000Z,2025-07-16T11:43:26.000Z,completed,Coke cola,1,"",,"",1.59,18.34,CAD
Toronto,Goodfella's Pizzeria,2025-07-16T11:14:10.000Z,2025-07-16T11:43:26.000Z,completed,Pepperoni Pizza,1,Small,0.0,"",15.99,18.34,CAD
Toronto,Goodfella's Pizzeria,2025-07-16T11:14:10.000Z,2025-07-16T11:43:26.000Z,completed,Creamy garlic,1,"",,"",1.69,18.34,CAD
Toronto,Taco Star (Courtice),2025-07-03T21:20:55.000Z,2025-07-03T22:22:31.000Z,completed,Classic Birria Tacos (3 Pcs),2,"Salsa Roja ( medium), 3 Corn Tortilla",0.0,"",41.98,34.44,CAD
Toronto,Taco Star (Courtice),2025-07-03T21:20:55.000Z,2025-07-03T22:22:31.000Z,completed,Jarritos,1,Mexican cola,0.0,"",4.0,34.44,CAD
Toronto,Papa John's Pizza (2021 Green Rd),2025-06-27T13:31:56.000Z,2025-06-27T13:51:53.000Z,completed,Create Your Own Pizza,2,"Small (10"") Original Create Your Own, Original Pizza Sauce, Regular Sauce, Normal Cheese, Pepperoni, Normal Bake, Normal Cut",0.0,"",28.88,20.68,CAD
Toronto,Papa John's Pizza (2021 Green Rd),2025-06-27T13:31:56.000Z,2025-06-27T13:51:53.000Z,completed,Special Garlic Sauce,1,Garlic Dipping Sauce,0.0,"",1.69,20.68,CAD
Toronto,A-One Delights Buffet,2025-06-17T14:03:25.000Z,2025-06-17T14:23:01.000Z,completed,Make Your Own Combination,1,"Beef with Broccoli p t, Steamed Fried Rice, General Tao Chicken p t",0.0,"Can you please exchange the beef and broccoli for a double serving of the general tao chicken, the app won’t let me select general tao twice",19.98,23.71,CAD
Toronto,Burger Factory (Courtice),2025-06-14T21:12:55.000Z,2025-06-14T21:53:49.000Z,completed,Strawberry Milk Shake,1,"",,"",7.99,41.78,CAD
Toronto,Burger Factory (Courtice),2025-06-14T21:12:55.000Z,2025-06-14T21:53:49.000Z,completed,Cheeseburger Combo,2,"Pickles, Chipotle, Onions, Factory Sauce, Fresh Cut Fries, Lettuce, Tomatoes, BBQ Sauce, Mayo, Water",0.0,"",47.98,41.78,CAD
Toronto,A-One Delights Buffet,2025-05-24T12:00:53.000Z,2025-05-24T12:18:19.000Z,completed,Make Your Own Combination,1,"Beef with Broccoli p t, Steamed Fried Rice, General Tao Chicken p t",0.0,Can I please have 2 servings of the general tao chicken instead of the beef and broccoli? The app is forcing me to select 2 options. Thank you,19.98,24.16,CAD
Toronto,"Fresh Burrito- 1635 Durham Regional Hwy 2, Courtice",2025-05-17T22:48:27.000Z,2025-05-17T23:16:00.000Z,completed,Burrito,2,"Sour Cream (Mild), Chicken, Pinto Beans, Tomatoes, Hot Sauce, Salsa Verde (Med Heat and Tangy), Shredded Cheese, NO combo, White Tortilla, Red Onions, Pickled Jalapeños, Lettuce, Regular Size, Mexican Rice",0.0,"",33.98,29.57,CAD
Toronto,"Fresh Burrito- 1635 Durham Regional Hwy 2, Courtice",2025-05-17T22:48:27.000Z,2025-05-17T23:16:00.000Z,completed,Jarrito Mexican Flavor Drinks Glass Bottles (370ml),1,Mexican Cola,0.0,"",4.19,29.57,CAD
Toronto,Firehouse Subs (Bowmanville),2025-05-15T15:04:33.000Z,2025-05-15T15:31:16.000Z,completed,Hook & Ladder®,1,"Ham, Onion, Side Pickle, Tomato, Monterey Jack, Turkey, Medium (7-8 inch), White Bread, Lettuce, Deli Mustard, Mayo",0.0,"",16.29,19.75,CAD
Toronto,Goodfella's Pizzeria,2025-05-10T20:08:32.000Z,2025-05-10T20:55:42.000Z,completed,Coke cola,1,"",,"",1.59,18.12,CAD
Toronto,Goodfella's Pizzeria,2025-05-10T20:08:32.000Z,2025-05-10T20:55:42.000Z,completed,Creamy garlic,1,"",,"",1.69,18.12,CAD
Toronto,Goodfella's Pizzeria,2025-05-10T20:08:32.000Z,2025-05-10T20:55:42.000Z,completed,Pepperoni Pizza,1,Small,0.0,"",15.99,18.12,CAD
