Event Time (UTC),GPS Time (UTC),Horizontal Accuracy,Latitude,Longitude,Speed (GPS),City,Cellular Carrier,Carrier MCC,Carrier MNC,Google Play Services Status,Device ID,IP Address,Device Language,Device Model,Device OS,Device OS Version,Region,Session Start Time (UTC),Analytics Event Type
2025-09-05 19:34:54.457,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,unknown,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:54.703,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,unknown,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:53.722,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,unknown,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:54.458,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,unknown,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:57.525,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,toronto,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,impression
2025-09-05 19:34:54.504,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,unknown,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:54.504,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,unknown,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:54.576,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,unknown,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:54.576,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,unknown,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
2025-09-05 19:34:54.475,1970-01-01 00:00:00.000,0.0,0.0,0.0,0.0,unknown,,,,,0A6009B1-4A31-40F8-9757-A16CCE50BD96,,en_CA,"iPhone14,5",ios,18.5,CA,2025-09-05 19:34:44.028,custom
