city,product_type,status,request_time,begin_trip_time,begintrip_lat,begintrip_lng,begintrip_address,dropoff_time,dropoff_lat,dropoff_lng,dropoff_address,distance,fare_currency,fare_amount
Toronto,uberX,completed,2025-07-02T21:18:59.000Z,2025-07-02T21:23:04.000Z,43.643757,-79.37369,"28 Freeland St, Toronto, ON M5E 0E3, CA",2025-07-02T21:42:20.000Z,43.649815,-79.39161,"256a Queen St W, Toronto, ON M5V 1Z8, CA",1.59,Canadian Dollar,15.03
Toronto,uberX,rider_canceled,2025-07-02T05:28:45.000Z,,43.64019,-79.39426,"",,43.64019,-79.39426,"255 Wellington St W, Toronto, ON M5V 3H2, CA",0.0,Canadian Dollar,0.0
Toronto,uberX,rider_canceled,2025-07-02T05:17:52.000Z,,43.64019,-79.39421,"",,43.64019,-79.39421,"255 Wellington St W, Toronto, ON M5V 3H2, CA",0.0,Canadian Dollar,0.0
Toronto,uberX,completed,2025-01-08T13:37:17.000Z,2025-01-08T13:40:11.000Z,43.93243,-78.70221,"35 Hockley Ave, Bowmanville, ON L1C 5P2, CA",2025-01-08T14:04:24.000Z,43.91422,-78.96644,"4015 Cochrane St, Whitby, ON L1P 2A9, CA",20.02,Canadian Dollar,46.12
Toronto,uberX,completed,2024-12-31T07:45:30.000Z,2024-12-31T08:02:01.000Z,43.95138,-78.71444,"2508 Concession Rd 4, Bowmanville, ON L1C 5S8, Canada",2024-12-31T08:05:26.000Z,43.93247,-78.70224,"35 Hockley Ave, Bowmanville, ON L1C 5P2, CA",1.76,Canadian Dollar,8.02
Toronto,uberX,completed,2024-12-29T02:09:30.000Z,2024-12-29T02:14:33.000Z,43.93245,-78.70226,"35 Hockley Ave, Bowmanville, ON L1C 5P2, CA",2024-12-29T02:25:23.000Z,43.89392,-78.65744,"Crows Nest Lane & Yacht Dr, Bowmanville, Ontario L1C, CA",4.06,Canadian Dollar,12.51
Hamilton,uberX,completed,2024-03-02T23:40:57.000Z,2024-03-02T23:44:21.000Z,43.25841,-79.87357,"2 King St W Unit 445, Hamilton, ON L8P 1A2, CA",2024-03-02T23:55:09.000Z,43.31345,-79.85595,"1199 Waterdown Rd, Burlington, ON L7T 4A8, CA",5.42,Canadian Dollar,21.23
Ottawa,uberX,completed,2023-12-02T21:45:12.000Z,2023-12-02T21:55:07.000Z,45.35793,-75.65296,"3310 Southgate Rd, Ottawa, ON K1V 8X3, CA",2023-12-02T22:04:34.000Z,45.38711,-75.67599,"2269 Riverside Dr Unit 1, Ottawa, ON K1H 8K2, CA",2.55,Canadian Dollar,11.16
Ottawa,uberX,rider_canceled,2023-12-02T21:37:27.000Z,,45.357937,-75.65282,"",,45.357937,-75.65282,"16 ch Nordik, Chelsea, QC J9B 2P7, CA",0.0,Canadian Dollar,0.0
Ottawa,uberX,completed,2023-04-28T05:26:03.000Z,2023-04-28T05:31:59.000Z,45.4223,-75.6546,"163 Arcola Pvt, Ottawa, ON K1K 4W9, CA",2023-04-28T05:42:44.000Z,45.36323,-75.76781,"115 Amaya Private, Ottawa, ON K2A 3G9, Canada",8.13,Canadian Dollar,19.1
Ottawa,uberX,completed,2023-04-27T23:51:02.000Z,2023-04-27T23:56:55.000Z,45.36318,-75.76878,"115 Amaya Private, Ottawa, ON K2A 3G9, Canada",2023-04-28T00:10:56.000Z,45.42758,-75.63789,"1055 St Laurent Blvd, Gloucester, ON K1K 3B1, CA",9.83,Canadian Dollar,22.31
Gatineau,uberX,completed,2023-04-24T02:42:52.000Z,2023-04-24T03:04:57.000Z,45.504704,-75.8035,"16 Chem. Nordik, Chelsea, QC J9B 2P7, Canada",2023-04-24T03:25:53.000Z,45.363316,-75.76769,"115 Amaya Private, Ottawa, ON K2A 3G9, Canada",16.74,Canadian Dollar,46.72
Gatineau,uberX,rider_canceled,2023-04-24T02:34:32.000Z,,,,,,,,"700 Sussex Dr, Ottawa, ON K1N 1K4, CA",0.0,Canadian Dollar,8.05
Gatineau,uberX,rider_canceled,2023-04-24T02:32:59.000Z,,,,,,,,"115 Amaya Private, Ottawa, ON K2A 3G9, Canada",0.0,Canadian Dollar,8.05
Ottawa,uberX,completed,2023-04-23T12:59:08.000Z,2023-04-23T13:10:53.000Z,45.363018,-75.768654,"115 Amaya Private, Ottawa, ON K2A 3G9, Canada",2023-04-23T13:38:07.000Z,45.50466,-75.803406,"16 Chem. Nordik, Chelsea, QC J9B 2P7, Canada",17.78,Canadian Dollar,39.48
Ottawa,uberX,completed,2023-04-22T14:49:14.000Z,2023-04-22T14:55:11.000Z,45.34712,-75.76256,"Ottawa, ON, CA",2023-04-22T15:01:50.000Z,45.36298,-75.76846,"115 Amaya Private, Ottawa, ON K2A 3G9, Canada",1.99,Canadian Dollar,10.16
Ottawa,uberX,completed,2023-04-22T05:41:00.000Z,2023-04-22T05:46:11.000Z,45.35798,-75.65288,"3306 Southgate Rd, Ottawa, ON K1V 8X3, CA",2023-04-22T06:05:40.000Z,45.36324,-75.76779,"115 Amaya Private, Ottawa, ON K2A 3G9, Canada",8.2,Canadian Dollar,20.54
Ottawa,uberX,completed,2023-04-09T00:25:58.000Z,2023-04-09T00:32:04.000Z,45.35796,-75.65285,"3306 Southgate Rd, Ottawa, ON K1V 8X3, CA",2023-04-09T00:50:48.000Z,45.36322,-75.76795,"115 Amaya Private, Ottawa, ON K2A 3G9, Canada",8.38,Canadian Dollar,20.54
Ottawa,uberX,completed,2023-04-07T17:32:59.000Z,2023-04-07T17:38:14.000Z,45.36303,-75.76833,"981 Woodroffe Ave, Ottawa, ON K2A 3G9, CA",2023-04-07T18:04:13.000Z,45.357956,-75.65285,"3310 Southgate Rd, Ottawa, ON K1V 8X3, CA",8.81,Canadian Dollar,20.59
Ottawa,uberX,completed,2023-03-26T23:16:35.000Z,2023-03-26T23:26:50.000Z,45.349037,-75.73298,"1600 Merivale Rd, Ottawa, ON K2G 5J8, CA",2023-03-26T23:38:39.000Z,45.36296,-75.76856,"115 Amaya Private, Ottawa, ON K2A 3G9, Canada",3.32,Canadian Dollar,12.23
Ottawa,uberX,completed,2023-03-26T22:18:42.000Z,2023-03-26T22:23:34.000Z,45.363197,-75.76787,"981 Woodroffe Ave, Ottawa, ON K2A 3G9, CA",2023-03-26T22:32:42.000Z,45.349705,-75.73319,"1600 Merivale Rd, Ottawa, ON K2G 5J8, CA",3.17,Canadian Dollar,12.34
Ottawa,uberX,completed,2023-02-13T07:38:32.000Z,2023-02-13T07:51:20.000Z,45.42232,-75.65471,"163 Arcola Pvt, Ottawa, ON K1K 4W9, CA",2023-02-13T08:03:04.000Z,45.36329,-75.76769,"115 Amaya Private, Ottawa, ON K2A 3G9, Canada",8.09,Canadian Dollar,19.37
